Function,Overflow_Count
utf16_literal_to_utf8,22
cJSON_Compare,20
print_object,12
parse_string,10
print_value,8
minify_string,6
parse_number,5
cJSON_Delete,3
cJSON_SetValuestring,3
print_number,3
parse_hex4,3
cJSON_ParseWithLengthOpts,3
parse_value,3
print_array,3
parse_object,3
cJSON_CreateBool,3
cJSON_CreateNumber,3
cJSON_SetNumberHelper,2
print_string_ptr,2
parse_array,2
add_item_to_object,2
cJSON_Duplicate_rec,2
skip_oneline_comment,2
skip_multiline_comment,2
cJSON_IsBool,2
__optiweave_record_subscript,1
cJSON_GetStringValue,1
cJSON_GetNumberValue,1
case_insensitive_strcmp,1
ensure,1
print,1
cJSON_PrintBuffered,1
cJSON_GetArraySize,1
get_object_item,1
cJSON_AddNullToObject,1
cJSON_AddTrueToObject,1
cJSON_AddFalseToObject,1
cJSON_AddBoolToObject,1
cJSON_AddNumberToObject,1
cJSON_AddStringToObject,1
cJSON_AddRawToObject,1
cJSON_AddObjectToObject,1
cJSON_AddArrayToObject,1
replace_item_in_object,1
cJSON_CreateNull,1
cJSON_CreateTrue,1
cJSON_CreateFalse,1
cJSON_CreateString,1
cJSON_CreateStringReference,1
cJSON_CreateObjectReference,1
cJSON_CreateArrayReference,1
cJSON_CreateRaw,1
cJSON_CreateArray,1
cJSON_CreateObject,1
cJSON_CreateIntArray,1
cJSON_CreateFloatArray,1
cJSON_CreateDoubleArray,1
cJSON_CreateStringArray,1
cJSON_IsFalse,1
cJSON_IsTrue,1
cJSON_IsNull,1
cJSON_IsNumber,1
cJSON_IsString,1
cJSON_IsArray,1
cJSON_IsObject,1
cJSON_IsRaw,1
