benchmark,mode,iteration,time_sec,overhead_pct
gemm,baseline,1,0.36,0
gemm,baseline,2,0.34,0
gemm,baseline,3,0.34,0
gemm,baseline,4,0.34,0
gemm,baseline,5,0.38,0
gemm,baseline,6,0.35,0
gemm,baseline,7,0.35,0
gemm,baseline,8,0.34,0
gemm,baseline,9,0.34,0
gemm,baseline,10,0.34,0
gemm,optiweave_array,1,0.38,11.00
gemm,optiweave_array,2,0.35,2.00
gemm,optiweave_array,3,0.35,2.00
gemm,optiweave_array,4,0.35,2.00
gemm,optiweave_array,5,0.35,2.00
gemm,optiweave_array,6,0.36,5.00
gemm,optiweave_array,7,0.36,5.00
gemm,optiweave_array,8,0.35,2.00
gemm,optiweave_array,9,0.34,0
gemm,optiweave_array,10,0.34,0
gemm,gprof,1,0.85,150.00
gemm,gprof,2,0.34,0
gemm,gprof,3,0.34,0
gemm,gprof,4,0.34,0
gemm,gprof,5,0.35,2.00
gemm,gprof,6,0.34,0
gemm,gprof,7,0.34,0
gemm,gprof,8,0.34,0
gemm,gprof,9,0.34,0
gemm,gprof,10,0.34,0
gemver,baseline,1,0.03,0
gemver,baseline,2,0.03,0
gemver,baseline,3,0.03,0
gemver,baseline,4,0.03,0
gemver,baseline,5,0.03,0
gemver,baseline,6,0.03,0
gemver,baseline,7,0.03,0
gemver,baseline,8,0.03,0
gemver,baseline,9,0.03,0
gemver,baseline,10,0.03,0
gemver,optiweave_array,1,0.03,0
gemver,optiweave_array,2,0.03,0
gemver,optiweave_array,3,0.03,0
gemver,optiweave_array,4,0.03,0
gemver,optiweave_array,5,0.03,0
gemver,optiweave_array,6,0.03,0
gemver,optiweave_array,7,0.03,0
gemver,optiweave_array,8,0.03,0
gemver,optiweave_array,9,0.03,0
gemver,optiweave_array,10,0.03,0
gemver,gprof,1,0.56,1766.00
gemver,gprof,2,0.03,0
gemver,gprof,3,0.04,33.00
gemver,gprof,4,0.03,0
gemver,gprof,5,0.03,0
gemver,gprof,6,0.03,0
gemver,gprof,7,0.03,0
gemver,gprof,8,0.03,0
gemver,gprof,9,0.03,0
gemver,gprof,10,0.03,0
cholesky,baseline,1,15.25,0
cholesky,baseline,2,15.38,0
cholesky,baseline,3,16.64,0
cholesky,baseline,4,15.23,0
cholesky,baseline,5,15.26,0
cholesky,baseline,6,15.80,0
cholesky,baseline,7,16.98,0
cholesky,baseline,8,15.52,0
cholesky,baseline,9,15.43,0
cholesky,baseline,10,15.34,0
cholesky,gprof,1,15.98,3.00
cholesky,gprof,2,15.23,-1.00
cholesky,gprof,3,15.33,0
cholesky,gprof,4,15.28,0
cholesky,gprof,5,15.29,0
cholesky,gprof,6,15.32,0
cholesky,gprof,7,15.39,0
cholesky,gprof,8,15.31,0
cholesky,gprof,9,15.26,0
cholesky,gprof,10,15.26,0
jacobi-2d,baseline,1,1.00,0
jacobi-2d,baseline,2,1.01,0
jacobi-2d,baseline,3,1.00,0
jacobi-2d,baseline,4,0.99,0
jacobi-2d,baseline,5,1.00,0
jacobi-2d,baseline,6,1.00,0
jacobi-2d,baseline,7,1.00,0
jacobi-2d,baseline,8,0.99,0
jacobi-2d,baseline,9,0.99,0
jacobi-2d,baseline,10,1.00,0
jacobi-2d,optiweave_array,1,1.13,13.00
jacobi-2d,optiweave_array,2,1.06,6.00
jacobi-2d,optiweave_array,3,1.02,2.00
jacobi-2d,optiweave_array,4,1.17,17.00
jacobi-2d,optiweave_array,5,1.21,21.00
jacobi-2d,optiweave_array,6,1.04,4.00
jacobi-2d,optiweave_array,7,1.14,14.00
jacobi-2d,optiweave_array,8,1.16,16.00
jacobi-2d,optiweave_array,9,1.03,3.00
jacobi-2d,optiweave_array,10,1.08,8.00
jacobi-2d,gprof,1,1.70,70.00
jacobi-2d,gprof,2,1.16,16.00
jacobi-2d,gprof,3,1.12,12.00
jacobi-2d,gprof,4,1.16,16.00
jacobi-2d,gprof,5,1.25,25.00
jacobi-2d,gprof,6,1.35,35.00
jacobi-2d,gprof,7,1.83,83.00
jacobi-2d,gprof,8,1.72,72.00
jacobi-2d,gprof,9,1.38,38.00
jacobi-2d,gprof,10,1.27,27.00
nussinov,baseline,1,2.31,0
nussinov,baseline,2,2.32,0
nussinov,baseline,3,2.28,0
nussinov,baseline,4,2.31,0
nussinov,baseline,5,2.30,0
nussinov,baseline,6,2.32,0
nussinov,baseline,7,2.28,0
nussinov,baseline,8,2.31,0
nussinov,baseline,9,2.30,0
nussinov,baseline,10,2.31,0
nussinov,optiweave_array,1,2.82,22.00
nussinov,optiweave_array,2,2.82,22.00
nussinov,optiweave_array,3,2.84,22.00
nussinov,optiweave_array,4,2.80,21.00
nussinov,optiweave_array,5,2.84,22.00
nussinov,optiweave_array,6,2.85,23.00
nussinov,optiweave_array,7,2.81,21.00
nussinov,optiweave_array,8,2.81,21.00
nussinov,optiweave_array,9,2.87,24.00
nussinov,optiweave_array,10,2.81,21.00
nussinov,gprof,1,3.02,30.00
nussinov,gprof,2,2.28,-1.00
nussinov,gprof,3,2.32,0
nussinov,gprof,4,2.27,-1.00
nussinov,gprof,5,2.28,-1.00
nussinov,gprof,6,2.28,-1.00
nussinov,gprof,7,2.28,-1.00
nussinov,gprof,8,2.33,0
nussinov,gprof,9,2.28,-1.00
nussinov,gprof,10,2.29,0
2mm,baseline,1,3.32,0
2mm,baseline,2,3.30,0
2mm,baseline,3,3.33,0
2mm,baseline,4,3.33,0
2mm,baseline,5,3.75,0
2mm,baseline,6,3.35,0
2mm,baseline,7,3.32,0
2mm,baseline,8,3.29,0
2mm,baseline,9,3.30,0
2mm,baseline,10,3.30,0
2mm,optiweave_array,1,3.27,-1.00
2mm,optiweave_array,2,3.29,0
2mm,optiweave_array,3,3.29,0
2mm,optiweave_array,4,3.27,-1.00
2mm,optiweave_array,5,3.30,0
2mm,optiweave_array,6,3.29,0
2mm,optiweave_array,7,3.27,-1.00
2mm,optiweave_array,8,3.27,-1.00
2mm,optiweave_array,9,3.31,0
2mm,optiweave_array,10,3.28,-1.00
2mm,gprof,1,3.97,19.00
2mm,gprof,2,3.30,0
2mm,gprof,3,3.27,-1.00
2mm,gprof,4,3.30,0
2mm,gprof,5,3.29,0
2mm,gprof,6,3.29,0
2mm,gprof,7,3.29,0
2mm,gprof,8,3.30,0
2mm,gprof,9,3.30,0
2mm,gprof,10,3.27,-1.00
correlation,baseline,1,2.10,0
correlation,baseline,2,2.09,0
correlation,baseline,3,2.10,0
correlation,baseline,4,2.10,0
correlation,baseline,5,2.10,0
correlation,baseline,6,2.11,0
correlation,baseline,7,2.11,0
correlation,baseline,8,2.10,0
correlation,baseline,9,2.11,0
correlation,baseline,10,2.10,0
correlation,optiweave_array,1,2.11,0
correlation,optiweave_array,2,2.09,0
correlation,optiweave_array,3,2.09,0
correlation,optiweave_array,4,2.10,0
correlation,optiweave_array,5,2.10,0
correlation,optiweave_array,6,2.10,0
correlation,optiweave_array,7,2.09,0
correlation,optiweave_array,8,2.10,0
correlation,optiweave_array,9,2.10,0
correlation,optiweave_array,10,2.10,0
correlation,gprof,1,2.82,34.00
correlation,gprof,2,2.10,0
correlation,gprof,3,2.10,0
correlation,gprof,4,2.11,0
correlation,gprof,5,2.09,0
correlation,gprof,6,2.10,0
correlation,gprof,7,2.10,0
correlation,gprof,8,2.10,0
correlation,gprof,9,2.10,0
correlation,gprof,10,2.10,0
heat-3d,baseline,1,1.52,0
heat-3d,baseline,2,1.52,0
heat-3d,baseline,3,1.52,0
heat-3d,baseline,4,1.52,0
heat-3d,baseline,5,1.52,0
heat-3d,baseline,6,1.52,0
heat-3d,baseline,7,1.52,0
heat-3d,baseline,8,1.52,0
heat-3d,baseline,9,1.52,0
heat-3d,baseline,10,1.52,0
heat-3d,optiweave_array,1,1.54,1.00
heat-3d,optiweave_array,2,1.52,0
heat-3d,optiweave_array,3,1.52,0
heat-3d,optiweave_array,4,1.52,0
heat-3d,optiweave_array,5,1.65,8.00
heat-3d,optiweave_array,6,1.54,1.00
heat-3d,optiweave_array,7,1.54,1.00
heat-3d,optiweave_array,8,1.53,0
heat-3d,optiweave_array,9,1.53,0
heat-3d,optiweave_array,10,1.53,0
heat-3d,gprof,1,2.09,37.00
heat-3d,gprof,2,1.52,0
heat-3d,gprof,3,1.52,0
heat-3d,gprof,4,1.52,0
heat-3d,gprof,5,1.52,0
heat-3d,gprof,6,1.52,0
heat-3d,gprof,7,1.52,0
heat-3d,gprof,8,1.52,0
heat-3d,gprof,9,1.52,0
heat-3d,gprof,10,1.52,0
atax,baseline,1,0.02,0
atax,baseline,2,0.02,0
atax,baseline,3,0.02,0
atax,baseline,4,0.02,0
atax,baseline,5,0.02,0
atax,baseline,6,0.02,0
atax,baseline,7,0.02,0
atax,baseline,8,0.02,0
atax,baseline,9,0.02,0
atax,baseline,10,0.02,0
atax,optiweave_array,1,0.02,0
atax,optiweave_array,2,0.02,0
atax,optiweave_array,3,0.02,0
atax,optiweave_array,4,0.02,0
atax,optiweave_array,5,0.02,0
atax,optiweave_array,6,0.02,0
atax,optiweave_array,7,0.02,0
atax,optiweave_array,8,0.02,0
atax,optiweave_array,9,0.02,0
atax,optiweave_array,10,0.02,0
atax,gprof,1,0.62,3000.00
atax,gprof,2,0.02,0
atax,gprof,3,0.02,0
atax,gprof,4,0.02,0
atax,gprof,5,0.02,0
atax,gprof,6,0.02,0
atax,gprof,7,0.02,0
atax,gprof,8,0.02,0
atax,gprof,9,0.02,0
atax,gprof,10,0.02,0
floyd-warshall,baseline,1,15.56,0
floyd-warshall,baseline,2,15.50,0
floyd-warshall,baseline,3,15.81,0
floyd-warshall,baseline,4,15.91,0
floyd-warshall,baseline,5,15.56,0
floyd-warshall,baseline,6,15.54,0
floyd-warshall,baseline,7,15.53,0
floyd-warshall,baseline,8,15.64,0
floyd-warshall,baseline,9,15.57,0
floyd-warshall,baseline,10,15.53,0
floyd-warshall,optiweave_array,1,15.68,0
floyd-warshall,optiweave_array,2,15.69,0
floyd-warshall,optiweave_array,3,15.70,0
floyd-warshall,optiweave_array,4,15.69,0
floyd-warshall,optiweave_array,5,15.69,0
floyd-warshall,optiweave_array,6,15.70,0
floyd-warshall,optiweave_array,7,15.68,0
floyd-warshall,optiweave_array,8,15.74,1.00
floyd-warshall,optiweave_array,9,15.69,0
floyd-warshall,optiweave_array,10,15.69,0
floyd-warshall,gprof,1,16.48,5.00
floyd-warshall,gprof,2,15.67,0
floyd-warshall,gprof,3,15.69,0
floyd-warshall,gprof,4,15.71,0
floyd-warshall,gprof,5,15.70,0
floyd-warshall,gprof,6,16.30,4.00
floyd-warshall,gprof,7,17.31,11.00
floyd-warshall,gprof,8,17.63,13.00
floyd-warshall,gprof,9,15.69,0
floyd-warshall,gprof,10,15.64,0
