benchmark,baseline_mean,baseline_std,baseline_ci_low,baseline_ci_high,optiweave_mean,optiweave_std,optiweave_ci_low,optiweave_ci_high,optiweave_overhead_pct,gprof_mean,gprof_overhead_pct,t_statistic,p_value,significant,category
floyd-warshall,18.952222222222222,3.2372510629304685,16.463850776284975,21.44059366815947,15.506666666666668,0.023452078799116646,15.488639803103368,15.524693530229968,-18.180219264817957,15.52111111111111,-18.10400422114088,-3.197318843847111,0.01266327525936291,Yes,Negative (Speedup)
seidel-2d,37.285555555555554,17.216434090071548,24.051832820497232,50.519278290613876,31.261111111111113,8.170891084276617,24.980408234896203,37.54181398732602,-16.15758262061566,28.508888888888887,-23.53905295467414,-0.8856370854863413,0.4016488491531668,No,Negative (Speedup)
adi,13.19888888888889,2.522619890334474,11.259831589335699,15.137946188442081,11.317777777777776,0.04684489774185097,11.281769601809135,11.353785953746417,-14.252041417627767,11.734444444444446,-11.095210034514686,-2.244001184355779,0.05508049286444773,No,Negative (Speedup)
trmm,1.6755555555555555,0.33948899507609637,1.414601213388294,1.936509897722817,1.478888888888889,0.13033077576348231,1.37870778627057,1.579069991507208,-11.737400530503972,1.4155555555555557,-15.517241379310335,-1.3865092289827705,0.20300475485505048,No,Negative (Speedup)
doitgen,0.9755555555555555,0.09422196016735046,0.9031301456312381,1.0479809654798729,0.9433333333333334,0.13518505834595773,0.839420898812135,1.0472457678545317,-3.302961275626417,0.9255555555555556,-5.125284738040996,-0.6636051359133118,0.5256008756191994,No,Negative (Speedup)
covariance,2.7333333333333334,0.089162772500635,2.6647967593024227,2.801869907364244,2.6522222222222225,0.037675515184857775,2.623262257618146,2.681182186826299,-2.9674796747967407,2.602222222222222,-4.796747967479678,-3.1784225125439898,0.013028373375563429,Yes,Negative (Speedup)
gramschmidt,3.692222222222222,0.20023597190426207,3.538307229146271,3.846137215298173,3.6033333333333335,0.10839741694339391,3.520011702761028,3.686654963905639,-2.407463135720726,3.867777777777778,4.75473969304846,-1.1346376358764492,0.2893780013376749,No,Negative (Speedup)
fdtd-2d,2.126666666666667,0.08231038816577171,2.0633973015064906,2.1899360318268433,2.0999999999999996,0.10380269746013347,2.020210183470528,2.179789816529471,-1.2539184952978344,1.934444444444444,-9.038662486938383,-0.5507427126572116,0.5968497311794163,No,Negative (Speedup)
durbin,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,,,No,Excellent (<5%)
gemver,0.030000000000000002,3.6799042000400975e-18,0.03,0.030000000000000006,0.030000000000000002,3.6799042000400975e-18,0.03,0.030000000000000006,0.0,0.030000000000000002,0.0,,,No,Excellent (<5%)
gesummv,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.0,,,No,Excellent (<5%)
deriche,0.23000000000000004,2.943923360032078e-17,0.23,0.23000000000000007,0.23000000000000004,2.943923360032078e-17,0.23,0.23000000000000007,0.0,0.23111111111111113,0.48309178743960446,,,No,Excellent (<5%)
trisolv,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.0,,,No,Excellent (<5%)
mvt,0.030000000000000002,3.6799042000400975e-18,0.03,0.030000000000000006,0.030000000000000002,3.6799042000400975e-18,0.03,0.030000000000000006,0.0,0.030000000000000002,0.0,,,No,Excellent (<5%)
syr2k,1.5255555555555553,0.008819171036881977,1.5187765405955145,1.5323345705155962,1.5266666666666664,0.008660254037844393,1.5200098061256038,1.533323527207729,0.0728332119446436,1.5344444444444445,0.5826656955571925,0.24433888871261045,0.8131183817361936,No,Excellent (<5%)
gemm,0.34,0.0,0.34,0.34,0.3422222222222222,0.006666666666666654,0.33709776858843515,0.34734667585600926,0.653594771241818,0.34,0.0,1.0,0.34659350708733416,No,Excellent (<5%)
symm,1.491111111111111,0.003333333333333336,1.4885488842942176,1.4936733379280045,1.518888888888889,0.022047927592204943,1.5019413514887867,1.5358364262889912,1.8628912071535104,1.4977777777777777,0.447093889716836,3.6563621206356536,0.006434934335937928,Yes,Excellent (<5%)
syrk,0.6244444444444445,0.010137937550497042,0.6166517358064819,0.632237153082407,0.6511111111111112,0.0297676184991529,0.6282296939930356,0.6739925282291868,4.2704626334519675,1.1288888888888888,80.78291814946617,3.336230624913199,0.010288639949745373,Yes,Excellent (<5%)
