benchmark,mode,iteration,time_sec,overhead_pct
gemm,baseline,1,0.34,0
gemm,baseline,2,0.34,0
gemm,baseline,3,0.34,0
gemm,baseline,4,0.34,0
gemm,baseline,5,0.34,0
gemm,baseline,6,0.34,0
gemm,baseline,7,0.34,0
gemm,baseline,8,0.34,0
gemm,baseline,9,0.34,0
gemm,baseline,10,0.34,0
gemm,optiweave,1,0.90,164.00
gemm,optiweave,2,0.34,0
gemm,optiweave,3,0.34,0
gemm,optiweave,4,0.34,0
gemm,optiweave,5,0.34,0
gemm,optiweave,6,0.34,0
gemm,optiweave,7,0.34,0
gemm,optiweave,8,0.36,5.00
gemm,optiweave,9,0.34,0
gemm,optiweave,10,0.34,0
gemm,gprof,1,0.88,158.00
gemm,gprof,2,0.34,0
gemm,gprof,3,0.34,0
gemm,gprof,4,0.34,0
gemm,gprof,5,0.34,0
gemm,gprof,6,0.34,0
gemm,gprof,7,0.34,0
gemm,gprof,8,0.34,0
gemm,gprof,9,0.34,0
gemm,gprof,10,0.34,0
gemver,baseline,1,0.03,0
gemver,baseline,2,0.03,0
gemver,baseline,3,0.03,0
gemver,baseline,4,0.03,0
gemver,baseline,5,0.03,0
gemver,baseline,6,0.03,0
gemver,baseline,7,0.03,0
gemver,baseline,8,0.03,0
gemver,baseline,9,0.03,0
gemver,baseline,10,0.03,0
gemver,optiweave,1,0.66,2100.00
gemver,optiweave,2,0.03,0
gemver,optiweave,3,0.03,0
gemver,optiweave,4,0.03,0
gemver,optiweave,5,0.03,0
gemver,optiweave,6,0.03,0
gemver,optiweave,7,0.03,0
gemver,optiweave,8,0.03,0
gemver,optiweave,9,0.03,0
gemver,optiweave,10,0.03,0
gemver,gprof,1,0.57,1800.00
gemver,gprof,2,0.03,0
gemver,gprof,3,0.03,0
gemver,gprof,4,0.03,0
gemver,gprof,5,0.03,0
gemver,gprof,6,0.03,0
gemver,gprof,7,0.03,0
gemver,gprof,8,0.03,0
gemver,gprof,9,0.03,0
gemver,gprof,10,0.03,0
gesummv,baseline,1,0.02,0
gesummv,baseline,2,0.02,0
gesummv,baseline,3,0.02,0
gesummv,baseline,4,0.02,0
gesummv,baseline,5,0.02,0
gesummv,baseline,6,0.02,0
gesummv,baseline,7,0.02,0
gesummv,baseline,8,0.02,0
gesummv,baseline,9,0.02,0
gesummv,baseline,10,0.02,0
gesummv,optiweave,1,0.55,2650.00
gesummv,optiweave,2,0.02,0
gesummv,optiweave,3,0.02,0
gesummv,optiweave,4,0.02,0
gesummv,optiweave,5,0.02,0
gesummv,optiweave,6,0.02,0
gesummv,optiweave,7,0.02,0
gesummv,optiweave,8,0.02,0
gesummv,optiweave,9,0.02,0
gesummv,optiweave,10,0.02,0
gesummv,gprof,1,0.55,2650.00
gesummv,gprof,2,0.02,0
gesummv,gprof,3,0.02,0
gesummv,gprof,4,0.02,0
gesummv,gprof,5,0.02,0
gesummv,gprof,6,0.02,0
gesummv,gprof,7,0.02,0
gesummv,gprof,8,0.02,0
gesummv,gprof,9,0.02,0
gesummv,gprof,10,0.02,0
symm,baseline,1,1.49,0
symm,baseline,2,1.49,0
symm,baseline,3,1.49,0
symm,baseline,4,1.49,0
symm,baseline,5,1.49,0
symm,baseline,6,1.49,0
symm,baseline,7,1.50,0
symm,baseline,8,1.49,0
symm,baseline,9,1.49,0
symm,baseline,10,1.49,0
symm,optiweave,1,2.12,42.00
symm,optiweave,2,1.50,0
symm,optiweave,3,1.51,1.00
symm,optiweave,4,1.56,4.00
symm,optiweave,5,1.50,0
symm,optiweave,6,1.50,0
symm,optiweave,7,1.51,1.00
symm,optiweave,8,1.52,2.00
symm,optiweave,9,1.55,4.00
symm,optiweave,10,1.52,2.00
symm,gprof,1,2.05,37.00
symm,gprof,2,1.53,2.00
symm,gprof,3,1.52,2.00
symm,gprof,4,1.49,0
symm,gprof,5,1.49,0
symm,gprof,6,1.49,0
symm,gprof,7,1.49,0
symm,gprof,8,1.49,0
symm,gprof,9,1.49,0
symm,gprof,10,1.49,0
syr2k,baseline,1,1.52,0
syr2k,baseline,2,1.52,0
syr2k,baseline,3,1.52,0
syr2k,baseline,4,1.52,0
syr2k,baseline,5,1.54,0
syr2k,baseline,6,1.52,0
syr2k,baseline,7,1.53,0
syr2k,baseline,8,1.52,0
syr2k,baseline,9,1.54,0
syr2k,baseline,10,1.52,0
syr2k,optiweave,1,2.11,38.00
syr2k,optiweave,2,1.52,0
syr2k,optiweave,3,1.54,1.00
syr2k,optiweave,4,1.52,0
syr2k,optiweave,5,1.52,0
syr2k,optiweave,6,1.53,0
syr2k,optiweave,7,1.52,0
syr2k,optiweave,8,1.52,0
syr2k,optiweave,9,1.53,0
syr2k,optiweave,10,1.54,1.00
syr2k,gprof,1,2.14,40.00
syr2k,gprof,2,1.52,0
syr2k,gprof,3,1.52,0
syr2k,gprof,4,1.55,1.00
syr2k,gprof,5,1.53,0
syr2k,gprof,6,1.52,0
syr2k,gprof,7,1.54,1.00
syr2k,gprof,8,1.53,0
syr2k,gprof,9,1.53,0
syr2k,gprof,10,1.57,3.00
syrk,baseline,1,0.67,0
syrk,baseline,2,0.63,0
syrk,baseline,3,0.65,0
syrk,baseline,4,0.62,0
syrk,baseline,5,0.62,0
syrk,baseline,6,0.62,0
syrk,baseline,7,0.62,0
syrk,baseline,8,0.62,0
syrk,baseline,9,0.62,0
syrk,baseline,10,0.62,0
syrk,optiweave,1,1.19,91.00
syrk,optiweave,2,0.64,3.00
syrk,optiweave,3,0.71,14.00
syrk,optiweave,4,0.63,1.00
syrk,optiweave,5,0.63,1.00
syrk,optiweave,6,0.63,1.00
syrk,optiweave,7,0.64,3.00
syrk,optiweave,8,0.69,11.00
syrk,optiweave,9,0.66,6.00
syrk,optiweave,10,0.63,1.00
syrk,gprof,1,1.29,108.00
syrk,gprof,2,0.89,43.00
syrk,gprof,3,0.81,30.00
syrk,gprof,4,1.66,167.00
syrk,gprof,5,1.53,146.00
syrk,gprof,6,1.50,141.00
syrk,gprof,7,1.03,66.00
syrk,gprof,8,0.97,56.00
syrk,gprof,9,0.92,48.00
syrk,gprof,10,0.85,37.00
trmm,baseline,1,1.69,0
trmm,baseline,2,1.78,0
trmm,baseline,3,2.48,0
trmm,baseline,4,1.63,0
trmm,baseline,5,1.75,0
trmm,baseline,6,1.45,0
trmm,baseline,7,1.74,0
trmm,baseline,8,1.41,0
trmm,baseline,9,1.43,0
trmm,baseline,10,1.41,0
trmm,optiweave,1,1.73,4.00
trmm,optiweave,2,1.51,-9.00
trmm,optiweave,3,1.35,-18.00
trmm,optiweave,4,1.47,-11.00
trmm,optiweave,5,1.40,-15.00
trmm,optiweave,6,1.41,-15.00
trmm,optiweave,7,1.36,-18.00
trmm,optiweave,8,1.47,-11.00
trmm,optiweave,9,1.57,-5.00
trmm,optiweave,10,1.77,6.00
trmm,gprof,1,1.68,1.00
trmm,gprof,2,1.44,-13.00
trmm,gprof,3,1.43,-13.00
trmm,gprof,4,1.39,-16.00
trmm,gprof,5,1.32,-20.00
trmm,gprof,6,1.40,-15.00
trmm,gprof,7,1.40,-15.00
trmm,gprof,8,1.42,-14.00
trmm,gprof,9,1.36,-18.00
trmm,gprof,10,1.58,-4.00
2mm,baseline,1,3.32,0
2mm,baseline,2,3.49,0
2mm,baseline,3,3.85,0
2mm,baseline,4,3.67,0
2mm,baseline,5,4.24,0
