benchmark,baseline_median,optiweave_median,overhead_pct,baseline_stddev,optiweave_stddev,correctness
gemm,0.34,0.34,0,0,0,PASS
gemver,0.03,0.03,0,0,0,PASS
gesummv,0.02,0.02,0,0,0,PASS
symm,1.49,1.515,1.00,0,0,PASS
syr2k,1.52,1.525,0,0,0,PASS
syrk,0.62,0.64,3.00,0,0,PASS
trmm,1.66,1.47,-11.00,0,0,PASS
2mm,3.825,4.05,5.00,0,0,PASS
3mm,5.97,6.96,16.00,0,0,PASS
atax,0.02,0.03,50.00,0,0,PASS
bicg,0.04,0.05,25.00,0,0,PASS
doitgen,0.965,0.905,-6.00,0,0,PASS
mvt,0.03,0.03,0,0,0,PASS
cholesky,23.54,FAILED,N/A,N/A,N/A,COMPILATION_FAILED
durbin,0.01,0.01,0,0,0,PASS
gramschmidt,3.73,3.63,-2.00,0,0,PASS
lu,26.12,FAILED,N/A,N/A,N/A,COMPILATION_FAILED
ludcmp,24.765,FAILED,N/A,N/A,N/A,COMPILATION_FAILED
trisolv,0.02,0.02,0,0,0,PASS
adi,12.28,11.315,-7.00,0,0,PASS
fdtd-2d,2.14,2.12,0,0,0,PASS
heat-3d,2.86,3.61,26.00,0,0,PASS
jacobi-1d,0.01,0.01,0,0,0,PASS
jacobi-2d,2.035,2.19,7.00,0,0,PASS
seidel-2d,28.56,28.555,0,0,0,PASS
correlation,2.71,2.805,3.00,0,0,PASS
covariance,2.73,2.665,-2.00,0,0,PASS
deriche,0.23,0.23,0,0,0,PASS
floyd-warshall,21.29,15.5,-27.00,0,0,PASS
nussinov,2.25,2.78,23.00,0,0,PASS
