test_file,test_function,optiweave_result,cppcheck_result,ground_truth
test_addition.c,test_clear_overflow_max_plus_one,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_clear_overflow_max_plus_large,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_potential_overflow_unknown,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_loop_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_safe_small_constants,DETECTED,MISSED,TRUE_NEGATIVE
test_addition.c,test_safe_negative,DETECTED,MISSED,TRUE_NEGATIVE
test_addition.c,test_overflow_near_boundary,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_safe_near_boundary,DETECTED,MISSED,TRUE_NEGATIVE
test_multiplication.c,test_overflow_large_mult,DETECTED,MISSED,TRUE_POSITIVE
test_multiplication.c,test_potential_overflow_mult,DETECTED,MISSED,TRUE_POSITIVE
test_multiplication.c,test_safe_mult,DETECTED,MISSED,TRUE_NEGATIVE
test_multiplication.c,test_overflow_mult_loop,DETECTED,MISSED,TRUE_POSITIVE
test_subtraction.c,test_underflow_min_minus_one,DETECTED,MISSED,TRUE_POSITIVE
test_subtraction.c,test_potential_underflow,DETECTED,MISSED,TRUE_POSITIVE
test_subtraction.c,test_safe_subtraction,DETECTED,MISSED,TRUE_NEGATIVE
