test_file,test_function,optiweave_result,cppcheck_result,ground_truth
test_addition.c,test_clear_overflow_max_plus_one,DETECTED,DETECTED,TRUE_POSITIVE
test_addition.c,test_clear_overflow_max_plus_large,DETECTED,DETECTED,TRUE_POSITIVE
test_addition.c,test_potential_overflow_unknown,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_loop_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_addition.c,test_safe_small_constants,DETECTED,MISSED,TRUE_NEGATIVE
test_addition.c,test_safe_negative,DETECTED,MISSED,TRUE_NEGATIVE
test_addition.c,test_overflow_near_boundary,DETECTED,DETECTED,TRUE_POSITIVE
test_addition.c,test_safe_near_boundary,DETECTED,MISSED,TRUE_NEGATIVE
test_multiplication.c,test_clear_overflow_max_times_two,MISSED,MISSED,TRUE_POSITIVE
test_multiplication.c,test_overflow_large_numbers,MISSED,MISSED,TRUE_POSITIVE
test_multiplication.c,test_safe_small_multiply,MISSED,MISSED,TRUE_NEGATIVE
test_subtraction.c,test_underflow_min_minus_one,DETECTED,DETECTED,TRUE_POSITIVE
test_subtraction.c,test_safe_subtraction,DETECTED,MISSED,TRUE_NEGATIVE
test_division.c,test_division_by_zero,MISSED,DETECTED,TRUE_POSITIVE
test_division.c,test_division_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_division.c,test_safe_division,MISSED,MISSED,TRUE_NEGATIVE
test_division.c,test_safe_negative_division,DETECTED,MISSED,TRUE_NEGATIVE
test_division.c,test_potential_division_issue,MISSED,MISSED,TRUE_POSITIVE
test_division.c,test_large_division,MISSED,MISSED,TRUE_NEGATIVE
test_casting.c,test_cast_overflow_long_to_int,DETECTED,MISSED,TRUE_POSITIVE
test_casting.c,test_safe_cast,DETECTED,MISSED,TRUE_NEGATIVE
test_casting.c,test_unsigned_to_signed_overflow,MISSED,MISSED,TRUE_POSITIVE
test_casting.c,test_safe_unsigned_to_signed,MISSED,MISSED,TRUE_NEGATIVE
test_casting.c,test_char_to_int,DETECTED,MISSED,TRUE_NEGATIVE
test_casting.c,test_int_to_short_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_casting.c,test_safe_int_to_short,DETECTED,MISSED,TRUE_NEGATIVE
test_casting.c,test_arithmetic_then_cast,DETECTED,MISSED,TRUE_POSITIVE
test_bitwise.c,test_left_shift_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_bitwise.c,test_safe_left_shift,DETECTED,MISSED,TRUE_NEGATIVE
test_bitwise.c,test_right_shift,MISSED,MISSED,TRUE_NEGATIVE
test_bitwise.c,test_shift_by_negative,DETECTED,DETECTED,TRUE_POSITIVE
test_bitwise.c,test_shift_beyond_width,DETECTED,DETECTED,TRUE_POSITIVE
test_bitwise.c,test_safe_shift_constant,DETECTED,MISSED,TRUE_NEGATIVE
test_bitwise.c,test_compound_shift_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_bitwise.c,test_bitwise_or,MISSED,MISSED,TRUE_NEGATIVE
test_complex.c,test_complex_expression_overflow,DETECTED,DETECTED,TRUE_POSITIVE
test_complex.c,test_safe_complex_expression,DETECTED,MISSED,TRUE_NEGATIVE
test_complex.c,test_nested_arithmetic_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_complex.c,test_chained_operations,DETECTED,DETECTED,TRUE_POSITIVE
test_complex.c,test_safe_chained_operations,DETECTED,MISSED,TRUE_NEGATIVE
test_complex.c,test_mixed_operations_overflow,DETECTED,DETECTED,TRUE_POSITIVE
test_complex.c,test_conditional_overflow,DETECTED,DETECTED,TRUE_POSITIVE
test_complex.c,test_array_index_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_complex.c,test_safe_array_index,DETECTED,MISSED,TRUE_NEGATIVE
test_complex.c,test_pointer_arithmetic_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_modulo.c,test_modulo_by_zero,MISSED,DETECTED,TRUE_POSITIVE
test_modulo.c,test_modulo_overflow,DETECTED,MISSED,TRUE_POSITIVE
test_modulo.c,test_safe_modulo,MISSED,MISSED,TRUE_NEGATIVE
test_modulo.c,test_negative_modulo,DETECTED,MISSED,TRUE_NEGATIVE
test_modulo.c,test_large_modulo,MISSED,MISSED,TRUE_NEGATIVE
test_modulo.c,test_unknown_modulo,MISSED,MISSED,TRUE_POSITIVE
